Cell ID,has_aggregate,cell_area,cell_mean_intensity,cell_total_intensity,cell_variance_intensity,cell_sd_intensity,aggregate_total_intensity,aggregate_mean_intensity,rest_of_cell_mean_intensity,rest_of_cell_total_intensity,rest_of_cell_variance_intensity,rest_of_cell_sd_intensity
169,False,2172,18.209944751381215,39552.0,480.38348612340553,21.917652386225253,,,,,,
170,False,2974,14.810468504819546,44046.33333333333,309.475734391577,17.591922418871025,,,,,,
171,False,3988,30.673269809428284,122325.0,1450.0270655035984,38.07922091513426,,,,,,
172,False,4197,24.165753315860535,101423.66666666666,922.1825965236914,30.367459500651208,,,,,,
173,False,3724,14.165234514858575,52751.333333333336,285.86725537822866,16.90760939276244,,,,,,
174,False,4239,19.733506330109304,83650.33333333334,611.4880752498813,24.728284923339938,,,,,,
175,False,864,13.440200617283951,11612.333333333334,257.4671030461725,16.045781471968652,,,,,,
176,False,3615,21.76339326878746,78674.66666666667,796.6446166092862,28.224893562408454,,,,,,
177,False,3497,16.993232294347536,59425.33333333333,454.77652459183093,21.325490019969784,,,,,,
178,False,5688,19.125820440693857,108787.66666666666,516.849792751631,22.734330708240147,,,,,,
179,False,1530,12.877342047930282,19702.333333333332,247.44922517929948,15.730518910045513,,,,,,
180,False,6578,17.687544339718254,116348.66666666667,521.2648929967925,22.83122627010631,,,,,,
181,False,2576,24.10546066252588,62095.666666666664,815.2007051708129,28.55171982859899,,,,,,
182,False,4481,20.62062039723276,92401.0,648.1366632467372,25.458528300880573,,,,,,
183,False,4421,28.53645479906507,126159.66666666667,1477.9945807211527,38.44469509205597,,,,,,
184,False,2267,13.26569622114395,30073.333333333332,263.0805597600931,16.219758313861927,,,,,,
185,False,4499,19.30762391642587,86865.0,603.821348855227,24.57277658009422,,,,,,
186,False,769,13.611616818378847,10467.333333333334,262.56870770232655,16.20397197301719,,,,,,
187,True,3140,24.429299363057325,76708.0,913.4997784899995,30.224158854962358,144.0,48.0,24.421790379101626,229980.0,912.6042952760124,30.209341192353275
188,False,6128,15.23569408181027,93364.33333333333,343.810690684482,18.54213285154871,,,,,,
189,False,3262,13.59319435928878,44341.0,266.19165202782835,16.315380842255212,,,,,,
190,False,4577,22.638919233850412,103618.33333333334,785.4936830210057,28.026660218816758,,,,,,
191,False,4812,22.029717373233584,106007.00000000001,781.1242900558939,27.94860086043475,,,,,,
192,False,2695,18.15621521335807,48931.0,464.4808534552293,21.551817868923013,,,,,,
193,False,4967,29.331924031944165,145691.66666666666,1415.5044831714652,37.623190762765795,,,,,,
194,False,4453,25.168276068568005,112074.33333333333,1041.1822528181642,32.26735583865161,,,,,,
195,False,4685,22.765421558164356,106656.0,851.1557164622745,29.17457311533923,,,,,,
196,False,3680,17.159692028985507,63147.666666666664,463.28491512254516,21.524054337474276,,,,,,
197,False,4337,21.152025209438168,91736.33333333333,667.4574816797889,25.835198502813732,,,,,,
198,False,4763,29.17726922807754,138971.33333333334,1327.4839370876396,36.43465297059435,,,,,,
199,False,3804,18.76664914125482,71388.33333333334,495.5213447829618,22.26030873062999,,,,,,
200,False,1431,18.994409503843467,27181.000000000004,505.99437825019606,22.49431879942569,,,,,,
201,False,2949,15.29117214875099,45093.66666666667,341.1524743466506,18.470313325622026,,,,,,
202,False,2845,17.535325131810193,49888.0,464.45730515205145,21.55127154374079,,,,,,
203,True,2600,19.812435897435897,51512.33333333333,578.8923838099934,24.06018253899985,127.0,42.333333333333336,19.803770681031168,154410.0,577.9717544109244,24.04104312235483
204,False,3004,23.791833111407012,71470.66666666667,840.0880469282066,28.984272406396656,,,,,,
205,False,3116,18.037227214377406,56204.0,463.98534926501884,21.540319154205186,,,,,,
206,False,4274,31.49703634378412,134618.33333333334,1712.2446878319342,41.37927848370406,,,,,,
207,True,3812,24.345400489681708,92804.66666666667,851.755130121175,29.18484418531603,136.0,45.333333333333336,24.3398932913496,278278.0,851.1203686407607,29.17396731061377
208,False,3574,14.448890132437977,51640.33333333333,299.6182141198075,17.30948335796905,,,,,,
209,False,1001,16.96803196803197,16985.0,405.2257512717053,20.130219851549196,,,,,,
210,False,3806,20.21317218427045,76931.33333333334,569.5252354968896,23.86472785298189,,,,,,
211,True,4647,16.757334481027186,77871.33333333333,477.7377564413826,21.85721291568032,199.0,66.33333333333333,16.746663796814463,233415.0,476.0199791839972,21.817882096665507
212,False,666,22.657157157157158,15089.666666666668,732.9320083346608,27.07271704751226,,,,,,
213,False,627,17.738437001594896,11122.0,470.8544981418313,21.699181969416067,,,,,,
214,True,3783,19.43730725174024,73531.33333333333,610.5948228134298,24.71021697220463,111.0,37.0,19.43266349374229,220483.0,610.1753089114418,24.70172684067739
215,True,3847,27.35196256823499,105223.0,1203.5406228271231,34.69208299925393,164.0,54.666666666666664,27.34486046108511,315505.0,1202.604680206738,34.67859109316205
216,False,2579,19.34703373400543,49896.0,569.3200483939763,23.860428503989116,,,,,,
217,False,3234,24.253246753246753,78435.0,890.6857114746724,29.844358117987266,,,,,,
218,False,3240,16.64156378600823,53918.666666666664,458.142922657454,21.404273467171315,,,,,,
219,False,4613,26.815665871811547,123700.66666666667,1175.5192400924195,34.28584606061836,,,,,,
220,False,3961,32.71766388959017,129594.66666666667,1889.528213611847,43.46870384094569,,,,,,
221,False,2609,19.924875431199695,51984.0,601.849984253679,24.532631009610018,,,,,,
222,True,3408,21.78501564945227,74243.33333333333,719.2906361891135,26.819594258472918,138.0,46.0,21.777908228157713,222592.0,718.4899571155383,26.804662973362273
223,True,2907,19.99162940029813,58115.666666666664,648.1901604112168,25.459578951962595,132.0,44.0,19.983367744895617,174215.0,647.3081656713707,25.442251584153684
224,False,5317,35.70352955927528,189835.6666666667,2282.707353224614,47.77768677138538,,,,,,
225,False,3539,17.940096072336818,63490.0,511.3250354245085,22.61249732834718,,,,,,
226,False,2119,18.895705521472394,40040.0,497.4210874250017,22.302938986263708,,,,,,
227,False,5239,23.39250493096647,122553.33333333334,796.4774217141227,28.221931573053652,,,,,,
228,False,5153,19.56510770424995,100819.0,588.867664085366,24.266595642680617,,,,,,
229,False,1850,26.168108108108108,48411.0,1105.7575054297542,33.252932283179994,,,,,,
230,False,2050,26.87642276422764,55096.666666666664,1096.195785577368,33.108847542271356,,,,,,
231,False,4056,24.187458908612754,98104.33333333333,862.5568216822364,29.369317691806128,,,,,,
232,False,775,10.275268817204301,7963.333333333333,152.72164643311368,12.35805997853683,,,,,,
233,False,1782,25.153011597456043,44822.66666666667,932.464054716289,30.536274407928172,,,,,,
234,False,1286,10.116122343182996,13009.333333333332,148.89631342411977,12.202307708958982,,,,,,
235,False,3617,30.096580960280157,108859.33333333333,1533.578175574014,39.16092664345437,,,,,,
236,False,1906,34.164393144456106,65117.333333333336,1784.2202641560352,42.24003153592614,,,,,,
